elapsed_time,data
6.7753,"orientation: [0.7796, 0.1437, -0.4353, 0.4268], angular_velocity: [0.0000, -0.0696, 0.1391], linear_acceleration: [0.4023, -0.0781, 0.8789]"
6.8253,"orientation: [0.7852, 0.1397, -0.4234, 0.4298], angular_velocity: [-0.0696, 0.0696, -0.0696], linear_acceleration: [0.4102, -0.0781, 0.8906]"
6.8753,"orientation: [0.7905, 0.1358, -0.4115, 0.4327], angular_velocity: [0.0696, -0.0696, -0.1391], linear_acceleration: [0.4023, -0.0781, 0.8945]"
6.9252,"orientation: [0.7957, 0.1320, -0.3998, 0.4355], angular_velocity: [0.0696, -0.1391, 0.0000], linear_acceleration: [0.3984, -0.0703, 0.8828]"
6.9753,"orientation: [0.8005, 0.1281, -0.3884, 0.4382], angular_velocity: [-0.0696, 0.0000, 0.0696], linear_acceleration: [0.4102, -0.0781, 0.8789]"
7.0252,"orientation: [0.8051, 0.1243, -0.3770, 0.4406], angular_velocity: [-0.0696, 0.1391, -0.1391], linear_acceleration: [0.4102, -0.0742, 0.8828]"
7.0753,"orientation: [0.8094, 0.1206, -0.3659, 0.4431], angular_velocity: [0.0696, 0.0000, 0.2783], linear_acceleration: [0.4102, -0.0781, 0.8711]"
7.1253,"orientation: [0.8136, 0.1170, -0.3549, 0.4454], angular_velocity: [-0.0696, 0.0000, 0.0696], linear_acceleration: [0.4141, -0.0703, 0.8867]"
7.1753,"orientation: [0.8176, 0.1134, -0.3440, 0.4475], angular_velocity: [-0.0696, 0.2087, -0.0696], linear_acceleration: [0.4141, -0.0703, 0.8828]"
7.2254,"orientation: [0.8214, 0.1098, -0.3335, 0.4495], angular_velocity: [-0.2087, -0.0696, 0.0000], linear_acceleration: [0.4180, -0.0781, 0.8828]"
7.2753,"orientation: [0.8249, 0.1065, -0.3231, 0.4515], angular_velocity: [0.2087, -0.0696, 0.1391], linear_acceleration: [0.4141, -0.0703, 0.8750]"
7.3252,"orientation: [0.8282, 0.1031, -0.3128, 0.4533], angular_velocity: [-0.0696, 0.0696, 0.0000], linear_acceleration: [0.4180, -0.0781, 0.8867]"
7.3752,"orientation: [0.8315, 0.0996, -0.3026, 0.4551], angular_velocity: [-0.2783, 0.1391, 0.1391], linear_acceleration: [0.4023, -0.0703, 0.8867]"
7.4252,"orientation: [0.8345, 0.0963, -0.2929, 0.4567], angular_velocity: [-0.1391, -0.2087, 0.0000], linear_acceleration: [0.4180, -0.0781, 0.8750]"
7.4752,"orientation: [0.8373, 0.0932, -0.2831, 0.4583], angular_velocity: [0.1391, 0.0000, 0.0696], linear_acceleration: [0.4062, -0.0703, 0.8828]"
7.5252,"orientation: [0.8401, 0.0901, -0.2735, 0.4597], angular_velocity: [0.0696, -0.2087, -0.0696], linear_acceleration: [0.4062, -0.0703, 0.8867]"
